delivery_risk,delivery_status,late_delivery_risk,customer_segment,department_name,order_item_profit_ratio,order_item_quantity,order_status,shipping_mode,order_year,order_month,order_day,order_hour,order_minute,order_weekend,ship_year,ship_month,ship_day,ship_hour,ship_minute,ship_weekend
-1,Advance shipping,0,Consumer,Fan Shop,0.479999989,1,PROCESSING,Standard Class,2015,7,26,22,29,1,2015,7,29,22,29,0
4,Late delivery,1,Consumer,Fan Shop,0.479999989,1,COMPLETE,Second Class,2016,3,1,17,26,0,2016,3,7,17,26,0
2,Late delivery,1,Consumer,Apparel,0.079999998,1,PENDING_PAYMENT,Standard Class,2015,8,5,23,31,0,2015,8,11,23,31,0
2,Late delivery,1,Home Office,Apparel,0.300000012,1,PENDING,Standard Class,2016,7,24,18,7,1,2016,7,30,18,7,1
1,Late delivery,1,Corporate,Golf,0.479999989,5,PENDING_PAYMENT,First Class,2016,2,3,2,35,0,2016,2,5,2,35,0
0,Shipping on time,0,Home Office,Fan Shop,0.469999999,1,CLOSED,Second Class,2015,11,27,18,48,0,2015,11,29,18,48,1
1,Late delivery,1,Consumer,Apparel,0.469999999,1,PROCESSING,Standard Class,2016,8,28,1,4,1,2016,9,2,1,4,0
-1,Advance shipping,0,Corporate,Outdoors,0.5,5,COMPLETE,Standard Class,2016,11,18,15,19,0,2016,11,21,15,19,0
-2,Advance shipping,0,Consumer,Fan Shop,-0.140000001,1,PENDING_PAYMENT,Standard Class,2016,4,30,12,27,1,2016,5,2,12,27,0
0,Shipping on time,0,Consumer,Footwear,0.129999995,1,ON_HOLD,Standard Class,2016,11,19,10,56,1,2016,11,23,10,56,0
3,Late delivery,1,Home Office,Fan Shop,-1.549999952,1,PENDING_PAYMENT,Second Class,2015,2,25,19,22,0,2015,3,2,19,22,0
-2,Advance shipping,0,Corporate,Apparel,0.379999995,3,COMPLETE,Standard Class,2015,4,20,13,20,0,2015,4,22,13,20,0
2,Late delivery,1,Corporate,Apparel,0.289999992,1,COMPLETE,Standard Class,2017,9,24,3,41,1,2017,9,30,3,41,1
3,Late delivery,1,Corporate,Golf,0.159999996,2,COMPLETE,Second Class,2016,7,30,5,9,1,2016,8,4,5,9,0
1,Late delivery,1,Consumer,Golf,0.469999999,5,COMPLETE,First Class,2015,7,22,9,31,0,2015,7,24,9,31,0
0,Shipping on time,0,Consumer,Golf,0.059999999,1,PENDING,Standard Class,2015,8,14,13,31,0,2015,8,18,13,31,0
-1,Advance shipping,0,Consumer,Footwear,0.25,2,PENDING,Standard Class,2016,9,2,13,30,0,2016,9,5,13,30,0
0,Shipping on time,0,Home Office,Fan Shop,0.109999999,1,PENDING_PAYMENT,Standard Class,2015,7,6,12,21,0,2015,7,10,12,21,0
1,Late delivery,1,Corporate,Fan Shop,-1.080000043,1,COMPLETE,First Class,2017,6,20,7,19,0,2017,6,22,7,19,0
2,Late delivery,1,Consumer,Apparel,0.49000001,2,COMPLETE,Standard Class,2016,11,22,6,12,0,2016,11,28,6,12,0
1,Late delivery,1,Consumer,Fan Shop,-0.479999989,1,COMPLETE,First Class,2016,11,1,14,28,0,2016,11,3,14,28,0
0,Shipping on time,0,Consumer,Fan Shop,0.280000001,3,COMPLETE,Standard Class,2017,1,31,17,40,0,2017,2,4,17,40,1
1,Late delivery,1,Corporate,Apparel,0.330000013,2,COMPLETE,First Class,2015,3,25,20,22,0,2015,3,27,20,22,0
-2,Advance shipping,0,Consumer,Fan Shop,0.079999998,1,COMPLETE,Standard Class,2016,6,22,12,12,0,2016,6,24,12,12,0
1,Late delivery,1,Corporate,Golf,-0.370000005,4,ON_HOLD,Second Class,2017,9,13,23,8,0,2017,9,16,23,8,1
4,Late delivery,1,Home Office,Golf,0.49000001,2,PENDING_PAYMENT,Second Class,2015,7,2,19,42,0,2015,7,8,19,42,0
1,Late delivery,1,Consumer,Apparel,0.090000004,5,PENDING,First Class,2015,9,23,9,36,0,2015,9,25,9,36,0
1,Late delivery,1,Consumer,Fan Shop,0.230000004,1,PENDING_PAYMENT,First Class,2016,4,16,10,43,1,2016,4,18,10,43,0
0,Shipping on time,0,Consumer,Fan Shop,0.349999994,1,PENDING,Second Class,2016,8,3,0,56,0,2016,8,5,0,56,0
4,Late delivery,1,Consumer,Golf,0.360000014,2,PENDING,Second Class,2016,9,16,20,8,0,2016,9,22,20,8,0
-2,Advance shipping,0,Consumer,Apparel,0.469999999,1,ON_HOLD,Standard Class,2015,8,13,21,3,0,2015,8,15,21,3,1
0,Shipping on time,0,Home Office,Apparel,0.100000001,1,ON_HOLD,Same Day,2015,9,18,3,50,0,2015,9,18,15,50,0
2,Late delivery,1,Consumer,Apparel,-0.039999999,1,PENDING_PAYMENT,Standard Class,2016,4,17,8,47,1,2016,4,23,8,47,1
1,Late delivery,1,Consumer,Fan Shop,0.0,1,PENDING_PAYMENT,Same Day,2017,7,19,13,45,0,2017,7,20,1,45,0
0,Shipping on time,0,Corporate,Golf,-0.730000019,4,COMPLETE,Standard Class,2015,1,7,5,35,0,2015,1,11,5,35,1
2,Late delivery,1,Consumer,Golf,-0.800000012,3,CLOSED,Standard Class,2016,11,12,16,44,1,2016,11,18,16,44,0
0,Shipping on time,0,Consumer,Fan Shop,0.090000004,1,PENDING_PAYMENT,Standard Class,2017,4,15,17,55,1,2017,4,19,17,55,0
2,Late delivery,1,Home Office,Fan Shop,0.300000012,1,COMPLETE,Standard Class,2016,6,20,10,48,0,2016,6,26,10,48,1
2,Late delivery,1,Consumer,Apparel,-0.319999993,5,PENDING,Standard Class,2017,9,6,10,1,0,2017,9,12,10,1,0
-2,Advance shipping,0,Corporate,Apparel,0.340000004,1,CLOSED,Standard Class,2015,7,17,15,39,0,2015,7,19,15,39,1
2,Late delivery,1,Corporate,Apparel,0.479999989,5,PENDING_PAYMENT,Standard Class,2017,6,21,9,56,0,2017,6,27,9,56,0
1,Late delivery,1,Consumer,Fan Shop,-0.07,1,PENDING_PAYMENT,First Class,2015,3,3,11,39,0,2015,3,5,11,39,0
-2,Advance shipping,0,Consumer,Outdoors,0.270000011,1,PENDING,Standard Class,2017,11,14,11,29,0,2017,11,16,11,29,0
1,Late delivery,1,Consumer,Fan Shop,0.330000013,1,COMPLETE,First Class,2015,10,28,23,45,0,2015,10,30,23,45,0
-1,Advance shipping,0,Consumer,Fan Shop,0.49000001,1,PENDING_PAYMENT,Standard Class,2016,4,1,18,37,0,2016,4,4,18,37,0
4,Late delivery,1,Consumer,Apparel,0.319999993,5,CLOSED,Second Class,2016,8,23,9,19,0,2016,8,29,9,19,0
1,Late delivery,1,Consumer,Golf,0.449999988,4,ON_HOLD,First Class,2016,11,30,14,57,0,2016,12,2,14,57,0
1,Shipping canceled,0,Consumer,Apparel,-0.829999983,1,SUSPECTED_FRAUD,First Class,2016,3,17,12,52,0,2016,3,19,12,52,1
1,Late delivery,1,Home Office,Fan Shop,0.280000001,1,PENDING_PAYMENT,First Class,2018,1,15,19,28,0,2018,1,17,19,28,0
2,Late delivery,1,Consumer,Apparel,-0.25,1,CLOSED,Standard Class,2016,1,12,23,17,0,2016,1,18,23,17,0
0,Shipping on time,0,Corporate,Outdoors,0.379999995,5,PENDING_PAYMENT,Standard Class,2015,3,21,3,34,1,2015,3,25,3,34,0
0,Shipping on time,0,Corporate,Fan Shop,0.270000011,1,COMPLETE,Standard Class,2016,8,30,19,17,0,2016,9,3,19,17,1
-2,Advance shipping,0,Consumer,Apparel,0.340000004,1,PENDING_PAYMENT,Standard Class,2015,12,25,17,43,0,2015,12,27,17,43,1
1,Late delivery,1,Consumer,Footwear,0.49000001,1,PENDING_PAYMENT,Second Class,2016,9,1,12,59,0,2016,9,4,12,59,1
-2,Advance shipping,0,Home Office,Golf,0.479999989,1,PROCESSING,Standard Class,2017,6,14,8,22,0,2017,6,16,8,22,0
4,Late delivery,1,Consumer,Golf,0.029999999,5,COMPLETE,Second Class,2015,1,19,7,19,0,2015,1,25,7,19,1
-1,Advance shipping,0,Corporate,Golf,-0.150000006,5,CLOSED,Standard Class,2015,11,8,7,26,1,2015,11,11,7,26,0
1,Late delivery,1,Consumer,Footwear,0.25999999,4,PENDING,Standard Class,2017,3,31,1,39,0,2017,4,5,1,39,0
1,Late delivery,1,Corporate,Footwear,0.25,2,COMPLETE,Second Class,2016,8,24,22,48,0,2016,8,27,22,48,1
1,Late delivery,1,Corporate,Golf,0.239999995,3,PENDING_PAYMENT,First Class,2015,11,20,11,17,0,2015,11,22,11,17,1
1,Late delivery,1,Home Office,Outdoors,0.349999994,1,COMPLETE,Standard Class,2017,9,16,20,9,1,2017,9,21,20,9,0
-2,Advance shipping,0,Consumer,Fan Shop,0.25999999,2,PENDING_PAYMENT,Standard Class,2016,7,8,3,4,0,2016,7,10,3,4,1
3,Late delivery,1,Consumer,Apparel,0.469999999,5,ON_HOLD,Second Class,2015,10,2,8,1,0,2015,10,7,8,1,0
2,Late delivery,1,Home Office,Golf,-0.829999983,4,PROCESSING,Standard Class,2016,2,21,17,59,1,2016,2,27,17,59,1
1,Late delivery,1,Corporate,Fan Shop,0.319999993,1,PENDING_PAYMENT,First Class,2017,3,10,12,1,0,2017,3,12,12,1,1
-2,Advance shipping,0,Consumer,Fan Shop,0.49000001,4,COMPLETE,Standard Class,2015,9,2,7,0,0,2015,9,4,7,0,0
1,Late delivery,1,Consumer,Technology,0.330000013,1,PENDING_PAYMENT,First Class,2017,10,31,15,22,0,2017,11,2,15,22,0
2,Late delivery,1,Corporate,Fan Shop,0.449999988,1,COMPLETE,Standard Class,2015,4,4,16,51,1,2015,4,10,16,51,0
1,Late delivery,1,Consumer,Golf,0.479999989,3,COMPLETE,Second Class,2017,4,16,0,34,1,2017,4,19,0,34,0
2,Late delivery,1,Consumer,Footwear,-2.700000048,4,CLOSED,Standard Class,2015,2,20,3,4,0,2015,2,26,3,4,0
-2,Advance shipping,0,Home Office,Fan Shop,0.460000008,3,PROCESSING,Standard Class,2015,6,14,1,52,1,2015,6,16,1,52,0
0,Shipping on time,0,Home Office,Fan Shop,0.469999999,1,PAYMENT_REVIEW,Standard Class,2018,1,15,23,40,0,2018,1,19,23,40,0
1,Late delivery,1,Consumer,Fan Shop,0.460000008,1,PENDING_PAYMENT,Same Day,2017,7,14,12,32,0,2017,7,15,0,32,1
-2,Advance shipping,0,Consumer,Fan Shop,0.479999989,3,PENDING_PAYMENT,Standard Class,2015,12,22,9,8,0,2015,12,24,9,8,0
1,Late delivery,1,Consumer,Outdoors,0.479999989,1,COMPLETE,Standard Class,2017,9,14,6,51,0,2017,9,19,6,51,0
2,Late delivery,1,Consumer,Apparel,0.239999995,3,PENDING,Standard Class,2016,3,14,19,0,0,2016,3,20,19,0,1
0,Shipping on time,0,Consumer,Apparel,0.430000007,1,PROCESSING,Same Day,2016,12,9,4,36,0,2016,12,9,16,36,0
-2,Advance shipping,0,Corporate,Fan Shop,0.140000001,1,COMPLETE,Standard Class,2015,3,15,1,28,1,2015,3,17,1,28,0
3,Late delivery,1,Corporate,Fan Shop,0.109999999,1,COMPLETE,Second Class,2017,5,20,15,35,1,2017,5,25,15,35,0
-1,Advance shipping,0,Home Office,Golf,0.340000004,5,PROCESSING,Standard Class,2016,9,27,9,5,0,2016,9,30,9,5,0
0,Shipping on time,0,Home Office,Golf,0.389999986,3,PENDING_PAYMENT,Same Day,2017,7,14,1,41,0,2017,7,14,13,41,0
1,Late delivery,1,Home Office,Fan Shop,0.310000002,1,PENDING_PAYMENT,Standard Class,2015,12,10,23,10,0,2015,12,15,23,10,0
2,Late delivery,1,Consumer,Fan Shop,0.289999992,1,PROCESSING,Standard Class,2017,1,3,12,27,0,2017,1,9,12,27,0
1,Late delivery,1,Home Office,Golf,0.189999998,3,CLOSED,First Class,2016,2,8,10,49,0,2016,2,10,10,49,0
2,Late delivery,1,Consumer,Golf,0.129999995,1,PENDING_PAYMENT,Standard Class,2016,10,16,4,20,1,2016,10,22,4,20,1
2,Late delivery,1,Consumer,Fan Shop,0.280000001,1,CLOSED,Standard Class,2017,7,30,7,37,1,2017,8,5,7,37,1
-2,Advance shipping,0,Corporate,Fan Shop,-0.109999999,1,PENDING,Standard Class,2017,5,8,6,30,0,2017,5,10,6,30,0
-1,Advance shipping,0,Consumer,Fan Shop,-0.670000017,1,CLOSED,Standard Class,2016,7,9,0,26,1,2016,7,12,0,26,0
-2,Advance shipping,0,Consumer,Footwear,0.100000001,4,PENDING_PAYMENT,Standard Class,2015,8,25,1,4,0,2015,8,27,1,4,0
0,Shipping on time,0,Consumer,Apparel,0.25999999,5,COMPLETE,Standard Class,2016,5,6,23,18,0,2016,5,10,23,18,0
2,Late delivery,1,Consumer,Apparel,0.189999998,5,COMPLETE,Second Class,2016,10,21,4,30,0,2016,10,25,4,30,0
1,Late delivery,1,Consumer,Apparel,0.109999999,1,PENDING_PAYMENT,First Class,2016,11,5,6,45,1,2016,11,7,6,45,0
-1,Advance shipping,0,Consumer,Apparel,0.379999995,1,PENDING_PAYMENT,Standard Class,2016,4,19,22,48,0,2016,4,22,22,48,0
0,Shipping on time,0,Corporate,Golf,0.25999999,1,ON_HOLD,Standard Class,2016,5,24,15,13,0,2016,5,28,15,13,1
0,Shipping on time,0,Consumer,Fan Shop,0.289999992,1,ON_HOLD,Same Day,2016,6,8,9,4,0,2016,6,8,21,4,0
1,Late delivery,1,Consumer,Fan Shop,0.109999999,1,COMPLETE,Standard Class,2015,6,13,19,55,1,2015,6,18,19,55,0
1,Late delivery,1,Corporate,Apparel,0.349999994,1,COMPLETE,First Class,2015,10,11,3,59,1,2015,10,13,3,59,0
0,Shipping on time,0,Corporate,Apparel,0.49000001,5,CLOSED,Same Day,2017,1,14,9,49,1,2017,1,14,21,49,1
1,Late delivery,1,Corporate,Fan Shop,0.349999994,1,CLOSED,First Class,2015,4,12,7,44,1,2015,4,14,7,44,0
1,Late delivery,1,Home Office,Fan Shop,0.340000004,1,CLOSED,First Class,2015,10,23,0,48,0,2015,10,25,0,48,1
1,Shipping canceled,0,Consumer,Technology,0.49000001,1,CANCELED,First Class,2017,11,1,11,20,0,2017,11,3,11,20,0
0,Shipping on time,0,Corporate,Golf,-0.200000003,4,COMPLETE,Standard Class,2016,5,29,2,5,1,2016,6,2,2,5,0
1,Late delivery,1,Consumer,Golf,0.209999993,1,ON_HOLD,First Class,2016,10,19,7,39,0,2016,10,21,7,39,0
-1,Advance shipping,0,Consumer,Golf,-0.07,1,ON_HOLD,Standard Class,2017,10,2,12,4,0,2017,10,5,12,4,0
2,Late delivery,1,Corporate,Fan Shop,0.479999989,1,PENDING,Standard Class,2016,12,21,21,24,0,2016,12,27,21,24,0
2,Late delivery,1,Consumer,Fan Shop,-1.700000048,1,PENDING_PAYMENT,Standard Class,2017,2,11,1,22,1,2017,2,17,1,22,0
1,Late delivery,1,Consumer,Fan Shop,0.280000001,1,PENDING,First Class,2017,2,23,12,34,0,2017,2,25,12,34,1
4,Late delivery,1,Consumer,Footwear,0.150000006,2,PROCESSING,Second Class,2016,5,17,5,15,0,2016,5,23,5,15,0
-2,Advance shipping,0,Corporate,Apparel,0.419999987,1,PENDING_PAYMENT,Standard Class,2015,10,8,8,22,0,2015,10,10,8,22,1
1,Late delivery,1,Consumer,Fan Shop,0.340000004,1,COMPLETE,First Class,2015,5,24,13,38,1,2015,5,26,13,38,0
0,Shipping on time,0,Home Office,Discs Shop,0.289999992,1,COMPLETE,Same Day,2017,12,11,0,46,0,2017,12,11,12,46,0
-2,Advance shipping,0,Corporate,Fan Shop,0.280000001,5,COMPLETE,Standard Class,2016,11,24,18,7,0,2016,11,26,18,7,1
1,Shipping canceled,0,Consumer,Golf,0.340000004,2,CANCELED,Standard Class,2016,5,15,10,51,1,2016,5,20,10,51,0
-2,Advance shipping,0,Consumer,Fan Shop,0.330000013,1,COMPLETE,Standard Class,2015,1,28,1,53,0,2015,1,30,1,53,0
-2,Advance shipping,0,Corporate,Apparel,-0.829999983,1,PROCESSING,Standard Class,2017,9,12,20,31,0,2017,9,14,20,31,0
1,Late delivery,1,Corporate,Fan Shop,0.129999995,1,COMPLETE,Same Day,2017,9,30,16,59,1,2017,10,1,4,59,1
1,Late delivery,1,Consumer,Golf,0.349999994,5,ON_HOLD,Standard Class,2016,4,11,12,18,0,2016,4,16,12,18,1
1,Late delivery,1,Consumer,Fan Shop,0.200000003,2,PENDING_PAYMENT,Standard Class,2017,3,8,22,53,0,2017,3,13,22,53,0
1,Late delivery,1,Consumer,Fan Shop,0.360000014,1,CLOSED,First Class,2017,6,13,7,9,0,2017,6,15,7,9,0
1,Late delivery,1,Home Office,Outdoors,0.330000013,3,PENDING_PAYMENT,Standard Class,2015,3,19,13,22,0,2015,3,24,13,22,0
0,Shipping on time,0,Home Office,Golf,-0.479999989,5,COMPLETE,Standard Class,2015,7,11,21,58,1,2015,7,15,21,58,0
-2,Advance shipping,0,Consumer,Fan Shop,0.379999995,5,PENDING_PAYMENT,Standard Class,2015,5,31,5,2,1,2015,6,2,5,2,0
1,Late delivery,1,Corporate,Apparel,0.479999989,3,PROCESSING,Second Class,2016,9,21,5,57,0,2016,9,24,5,57,1
-1,Advance shipping,0,Home Office,Outdoors,0.5,1,COMPLETE,Standard Class,2017,7,2,23,25,1,2017,7,5,23,25,0
0,Shipping on time,0,Home Office,Fan Shop,-1.75,3,PROCESSING,Same Day,2015,12,10,3,32,0,2015,12,10,15,32,0
1,Late delivery,1,Corporate,Fan Shop,0.100000001,1,PENDING_PAYMENT,First Class,2017,4,24,19,29,0,2017,4,26,19,29,0
-2,Advance shipping,0,Consumer,Fan Shop,0.449999988,5,PENDING,Standard Class,2015,11,23,18,27,0,2015,11,25,18,27,0
0,Shipping on time,0,Corporate,Outdoors,0.270000011,1,ON_HOLD,Standard Class,2017,8,7,16,21,0,2017,8,11,16,21,0
2,Late delivery,1,Home Office,Apparel,0.100000001,3,COMPLETE,Second Class,2016,5,13,0,42,0,2016,5,17,0,42,0
0,Shipping on time,0,Consumer,Fan Shop,0.109999999,1,COMPLETE,Second Class,2015,8,6,12,8,0,2015,8,8,12,8,1
-1,Advance shipping,0,Consumer,Golf,0.360000014,1,PAYMENT_REVIEW,Standard Class,2015,8,21,9,50,0,2015,8,24,9,50,0
1,Late delivery,1,Home Office,Fan Shop,0.280000001,1,COMPLETE,Standard Class,2016,12,3,20,23,1,2016,12,8,20,23,0
-2,Shipping canceled,0,Consumer,Golf,0.460000008,4,CANCELED,Standard Class,2015,12,24,1,25,0,2015,12,26,1,25,1
1,Late delivery,1,Consumer,Golf,0.449999988,3,PROCESSING,Standard Class,2015,9,14,7,20,0,2015,9,19,7,20,1
3,Late delivery,1,Consumer,Fan Shop,0.5,1,PROCESSING,Second Class,2016,6,24,23,4,0,2016,6,29,23,4,0
4,Late delivery,1,Consumer,Fan Shop,0.100000001,1,PENDING_PAYMENT,Second Class,2016,10,3,6,17,0,2016,10,9,6,17,1
-2,Advance shipping,0,Consumer,Fan Shop,0.469999999,1,PENDING_PAYMENT,Standard Class,2015,9,21,1,12,0,2015,9,23,1,12,0
1,Late delivery,1,Corporate,Footwear,0.360000014,2,PENDING_PAYMENT,First Class,2016,2,14,15,43,1,2016,2,16,15,43,0
0,Shipping on time,0,Home Office,Fan Shop,0.050000001,1,PROCESSING,Standard Class,2015,7,2,13,45,0,2015,7,6,13,45,0
1,Late delivery,1,Consumer,Fan Shop,0.159999996,1,PENDING_PAYMENT,First Class,2015,8,27,14,43,0,2015,8,29,14,43,1
-1,Advance shipping,0,Home Office,Apparel,0.469999999,5,COMPLETE,Standard Class,2015,6,9,4,51,0,2015,6,12,4,51,0
2,Late delivery,1,Corporate,Fan Shop,-0.239999995,3,CLOSED,Standard Class,2017,4,30,17,43,1,2017,5,6,17,43,1
0,Shipping on time,0,Consumer,Fan Shop,0.090000004,1,PENDING_PAYMENT,Standard Class,2015,3,19,2,31,0,2015,3,23,2,31,0
-2,Advance shipping,0,Consumer,Golf,-0.699999988,4,COMPLETE,Standard Class,2015,1,15,21,21,0,2015,1,17,21,21,1
-1,Shipping canceled,0,Consumer,Golf,0.300000012,5,CANCELED,Standard Class,2015,10,14,17,7,0,2015,10,17,17,7,1
1,Late delivery,1,Consumer,Golf,0.310000002,2,COMPLETE,Standard Class,2015,1,22,15,33,0,2015,1,27,15,33,0
1,Late delivery,1,Home Office,Fan Shop,0.360000014,1,COMPLETE,Same Day,2015,8,12,23,41,0,2015,8,13,11,41,0
1,Late delivery,1,Consumer,Apparel,0.360000014,1,PROCESSING,First Class,2017,6,2,11,12,0,2017,6,4,11,12,1
1,Late delivery,1,Corporate,Fan Shop,0.200000003,1,ON_HOLD,First Class,2016,4,29,10,32,0,2016,5,1,10,32,1
1,Late delivery,1,Home Office,Fan Shop,0.039999999,4,COMPLETE,Second Class,2016,2,24,9,44,0,2016,2,27,9,44,1
-2,Advance shipping,0,Corporate,Apparel,-0.100000001,1,COMPLETE,Standard Class,2017,3,30,22,51,0,2017,4,1,22,51,1
1,Late delivery,1,Home Office,Apparel,0.180000007,5,CLOSED,First Class,2017,8,12,0,46,1,2017,8,14,0,46,0
0,Shipping on time,0,Consumer,Outdoors,0.289999992,1,PENDING_PAYMENT,Standard Class,2017,9,30,13,8,1,2017,10,4,13,8,0
1,Late delivery,1,Corporate,Golf,0.49000001,2,COMPLETE,Standard Class,2017,1,2,9,50,0,2017,1,7,9,50,1
1,Shipping canceled,0,Corporate,Fan Shop,-0.209999993,4,SUSPECTED_FRAUD,Same Day,2015,1,16,14,10,0,2015,1,17,2,10,1
-1,Advance shipping,0,Consumer,Golf,0.129999995,3,PROCESSING,Standard Class,2017,1,12,16,7,0,2017,1,15,16,7,1
3,Late delivery,1,Home Office,Apparel,0.449999988,1,PENDING_PAYMENT,Second Class,2017,8,2,17,35,0,2017,8,7,17,35,0
1,Late delivery,1,Consumer,Apparel,0.310000002,1,PENDING,Same Day,2015,1,16,13,49,0,2015,1,17,1,49,1
-1,Advance shipping,0,Consumer,Fan Shop,0.340000004,1,COMPLETE,Standard Class,2016,5,18,2,58,0,2016,5,21,2,58,1
4,Late delivery,1,Consumer,Apparel,0.349999994,1,PENDING_PAYMENT,Second Class,2015,3,21,0,45,1,2015,3,27,0,45,0
-1,Advance shipping,0,Consumer,Apparel,0.330000013,5,COMPLETE,Standard Class,2015,2,4,19,55,0,2015,2,7,19,55,1
1,Late delivery,1,Consumer,Apparel,0.310000002,1,CLOSED,First Class,2015,4,1,16,41,0,2015,4,3,16,41,0
-2,Advance shipping,0,Corporate,Golf,0.029999999,2,COMPLETE,Standard Class,2016,9,15,14,43,0,2016,9,17,14,43,1
0,Shipping on time,0,Corporate,Apparel,0.079999998,4,PROCESSING,Standard Class,2017,3,11,11,50,1,2017,3,15,11,50,0
0,Shipping on time,0,Corporate,Footwear,0.349999994,1,PROCESSING,Same Day,2017,9,4,11,46,0,2017,9,4,23,46,0
1,Late delivery,1,Corporate,Fan Shop,0.159999996,3,PENDING,Second Class,2015,6,21,2,23,1,2015,6,24,2,23,0
2,Late delivery,1,Corporate,Apparel,0.050000001,2,COMPLETE,Standard Class,2017,6,25,20,48,1,2017,7,1,20,48,1
1,Late delivery,1,Consumer,Apparel,0.270000011,1,PROCESSING,First Class,2016,9,11,14,22,1,2016,9,13,14,22,0
1,Late delivery,1,Consumer,Golf,0.479999989,2,ON_HOLD,First Class,2015,7,16,5,19,0,2015,7,18,5,19,1
0,Shipping canceled,0,Consumer,Apparel,-0.239999995,1,CANCELED,Standard Class,2017,5,21,15,46,1,2017,5,25,15,46,0
-2,Advance shipping,0,Home Office,Golf,0.349999994,1,COMPLETE,Standard Class,2016,8,23,21,55,0,2016,8,25,21,55,0
1,Late delivery,1,Corporate,Golf,0.479999989,2,COMPLETE,Standard Class,2016,1,4,2,59,0,2016,1,9,2,59,1
4,Late delivery,1,Home Office,Fan Shop,0.029999999,2,ON_HOLD,Second Class,2016,8,18,20,42,0,2016,8,24,20,42,0
0,Shipping on time,0,Home Office,Apparel,-0.209999993,1,PROCESSING,Second Class,2016,12,13,17,34,0,2016,12,15,17,34,0
1,Late delivery,1,Home Office,Golf,0.360000014,4,COMPLETE,Standard Class,2015,8,15,21,24,1,2015,8,20,21,24,0
1,Late delivery,1,Corporate,Fan Shop,0.300000012,1,PROCESSING,Standard Class,2016,10,11,4,52,0,2016,10,16,4,52,1
0,Shipping canceled,0,Consumer,Apparel,0.479999989,1,CANCELED,Second Class,2016,9,21,10,51,0,2016,9,23,10,51,0
1,Shipping canceled,0,Home Office,Apparel,0.330000013,1,CANCELED,Standard Class,2015,2,10,4,29,0,2015,2,15,4,29,1
2,Late delivery,1,Corporate,Fan Shop,0.460000008,1,PENDING_PAYMENT,Standard Class,2015,11,25,1,38,0,2015,12,1,1,38,0
1,Late delivery,1,Consumer,Apparel,0.270000011,3,COMPLETE,First Class,2015,12,20,5,38,1,2015,12,22,5,38,0
1,Late delivery,1,Home Office,Fan Shop,0.280000001,1,PENDING_PAYMENT,Standard Class,2015,7,5,12,10,1,2015,7,10,12,10,0
3,Late delivery,1,Consumer,Technology,-0.449999988,1,COMPLETE,Second Class,2017,11,2,11,30,0,2017,11,7,11,30,0
1,Shipping canceled,0,Consumer,Fan Shop,0.49000001,1,CANCELED,First Class,2016,3,31,7,56,0,2016,4,2,7,56,1
2,Late delivery,1,Consumer,Outdoors,0.479999989,2,CLOSED,Standard Class,2016,11,12,16,44,1,2016,11,18,16,44,0
